x_minimo,x_maximo,y_minimo,y_maximo,peso_da_placa,area_pixels,perimetro_x,perimetro_y,soma_da_luminosidade,maximo_da_luminosidade,comprimento_do_transportador,tipo_do_aço_A300,tipo_do_aço_A400,espessura_da_chapa_de_aço,temperatura,index_de_bordas,index_vazio,index_quadrado,index_externo_x,indice_de_bordas_x,indice_de_bordas_y,indice_de_variacao_x,indice_de_variacao_y,indice_global_externo,log_das_areas,log_indice_x,log_indice_y,indice_de_orientaçao,sigmoide_das_areas,minimo_da_luminosidade,falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros,num_falhas
154.0,169.0,260124.0,260136.0,100,75.0,27.0,17.0,9948.0,143.0,1364.0,False,True,40.0,80.79956986765761,0.2258,0.5833,0.8,0.011,0.5556,0.7059,0.1490142459033697,0.1490142459033697,0.0,1.8751,1.1761,1.0792,-0.2,0.3068,125,False,True,False,False,True,False,True,3
1121.0,633.0,1789332.0,1789337.0,100,168.0,9.0,24.0,2240.0,150.0,1364.0,False,True,50.0,79.7907206368532,0.3412,0.5143,0.7143,0.0052,0.7778,0.8333,-0.0414792903513554,-0.0414792903513554,0.0,1.2305,0.8451,0.699,-0.2857,0.1441,115,False,False,False,True,False,False,False,1
41.0,216.0,2708878.0,2708939.0,100,6298.0,275.0,134.0,654634.0,126.0,1358.0,False,True,40.0,80.87197048276663,0.0604,0.41,0.3486,0.1289,0.6364,0.4552,-0.0899621419259413,-0.0549719624614398,0.0,3.7992,2.243,1.7853,-0.6514,1.0,42,False,False,True,False,True,False,False,2
129.0,157.0,86408.0,86427.0,100,276.0,39.0,26.0,33858.0,135.0,1362.0,False,True,40.0,77.48224695837098,0.1894,0.4812,0.6786,0.0206,0.7179,0.7308,0.2546862386013201,0.4510351927235673,0.0,2.4409,1.4472,1.2787,-0.3214,0.8223,115,False,False,True,False,True,False,False,2
436.0,442.0,4959398.0,530985.0,100,63.0,17.0,17.0,6374.0,116.0,1356.0,False,False,70.0,73.85454987445387,0.6431,0.3823,0.3529,0.0044,0.3529,1.0,0.9297539875829992,-0.0702460124170007,1.0,1.7993,0.7782,1.2305,0.6471,0.2083,90,False,True,False,False,False,False,False,1
767.0,633.0,590440.0,590503.0,100,168.0,198.0,119.0,637317.0,125.0,1358.0,False,True,40.0,76.12150100991973,0.0574,0.3789,0.4013,0.1156,0.7929,0.5294,-0.0702410870847541,0.9297589129152458,0.0,3.7884,2.1959,1.7993,-0.5987,1.0,45,False,False,True,False,True,False,False,2
39.0,217.0,1359602.0,1359742.0,100,10276.0,552.0,319.0,1187807.0,141.0,1400.0,False,True,40.0,62.6399200184873,0.0557,0.5876,0.7865,0.1271,0.3225,0.4389,0.4737638446522174,1.4737638446522174,0.0,4.0118,2.2504,2.1461,-0.2135,1.0,25,True,False,True,False,True,False,False,3
43.0,200.0,696884.0,696948.0,100,168.0,206.0,129.0,626256.0,125.0,1358.0,False,True,40.0,86.95075982704378,0.0633,0.397,0.4076,0.1156,0.7621,0.4961,0.946285431161522,1.4664298956386288,0.0,3.7824,2.1959,1.8062,-0.5924,1.0,45,False,False,True,False,True,False,False,2
772.0,777.0,1436089.0,1436092.0,100,11.0,25.0,3.0,1398.0,135.0,1358.0,False,True,50.0,84.82096152960388,0.8557,0.2667,0.6,0.0037,1.0,1.0,-0.1408423157804856,-0.1408423157804856,0.0,1.0414,0.699,0.4771,-0.4,0.1284,111,False,False,False,True,False,False,False,1
41.0,633.0,1505915.0,1505982.0,100,6494.0,315.0,145.0,671353.0,127.0,1356.0,False,True,40.0,100.11599300525712,0.0605,0.4332,0.3918,0.1261,0.5429,0.4621,0.1627680130757894,1.1627680130757894,0.0,3.8125,2.233,1.8261,-0.6082,1.0,38,False,False,True,False,True,False,False,2
